,gene_biotype,gene_id,gene_name
0,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1
12,unprocessed_pseudogene,ENSG00000227232,WASH7P
25,miRNA,ENSG00000278267,MIR6859-1
28,lncRNA,ENSG00000243485,MIR1302-2HG
36,miRNA,ENSG00000284332,MIR1302-2
39,lncRNA,ENSG00000237613,FAM138A
47,unprocessed_pseudogene,ENSG00000268020,OR4G4P
50,transcribed_unprocessed_pseudogene,ENSG00000240361,OR4G11P
57,protein_coding,ENSG00000186092,OR4F5
76,lncRNA,ENSG00000238009,AL627309.1
99,lncRNA,ENSG00000239945,AL627309.3
103,processed_pseudogene,ENSG00000233750,CICP27
106,processed_pseudogene,ENSG00000268903,AL627309.6
109,processed_pseudogene,ENSG00000269981,AL627309.7
112,lncRNA,ENSG00000239906,AL627309.2
116,lncRNA,ENSG00000241860,AL627309.5
144,snRNA,ENSG00000222623,RNU6-1100P
147,lncRNA,ENSG00000241599,AL627309.4
151,unprocessed_pseudogene,ENSG00000279928,FO538757.1
158,unprocessed_pseudogene,ENSG00000279457,WASH9P
170,miRNA,ENSG00000273874,MIR6859-2
173,transcribed_processed_pseudogene,ENSG00000228463,AP006222.1
198,lncRNA,ENSG00000286448,AP006222.2
202,processed_pseudogene,ENSG00000236679,RPL23AP24
205,lncRNA,ENSG00000236601,AL732372.1
215,transcribed_unprocessed_pseudogene,ENSG00000237094,AL732372.2
323,processed_pseudogene,ENSG00000269732,WBP1LP7
326,protein_coding,ENSG00000284733,OR4F29
334,processed_pseudogene,ENSG00000233653,CICP7
338,unprocessed_pseudogene,ENSG00000250575,AL732372.3
342,snRNA,ENSG00000278757,U6
345,transcribed_processed_pseudogene,ENSG00000230021,AL669831.3
420,lncRNA,ENSG00000235146,AC114498.1
427,unprocessed_pseudogene,ENSG00000225972,MTND1P23
430,unprocessed_pseudogene,ENSG00000225630,MTND2P28
433,unprocessed_pseudogene,ENSG00000237973,MTCO1P12
436,miRNA,ENSG00000278791,AC114498.2
439,unprocessed_pseudogene,ENSG00000229344,MTCO2P12
442,unprocessed_pseudogene,ENSG00000240409,MTATP8P1
445,unprocessed_pseudogene,ENSG00000248527,MTATP6P1
448,unprocessed_pseudogene,ENSG00000198744,MTCO3P12
451,processed_pseudogene,ENSG00000268663,WBP1LP6
454,protein_coding,ENSG00000284662,OR4F16
462,processed_pseudogene,ENSG00000229376,CICP3
466,transcribed_unprocessed_pseudogene,ENSG00000228327,AL669831.1
490,snRNA,ENSG00000223181,RNU6-1199P
493,lncRNA,ENSG00000229905,AL669831.2
497,lncRNA,ENSG00000237491,LINC01409
641,transcribed_processed_pseudogene,ENSG00000285268,AL669831.6
644,transcribed_unprocessed_pseudogene,ENSG00000230092,AL669831.4
655,lncRNA,ENSG00000177757,FAM87B
659,lncRNA,ENSG00000228794,LINC01128
813,lncRNA,ENSG00000225880,LINC00115
816,lncRNA,ENSG00000288531,AL669831.7
824,lncRNA,ENSG00000230368,FAM41C
838,unprocessed_pseudogene,ENSG00000234711,TUBB8P11
841,transcribed_unprocessed_pseudogene,ENSG00000283040,AL669831.5
848,lncRNA,ENSG00000272438,AL645608.6
852,lncRNA,ENSG00000230699,AL645608.2
856,lncRNA,ENSG00000241180,AL645608.4
860,lncRNA,ENSG00000223764,LINC02593
871,protein_coding,ENSG00000187634,SAMD11
1228,protein_coding,ENSG00000188976,NOC2L
1310,protein_coding,ENSG00000187961,KLHL17
1384,protein_coding,ENSG00000187583,PLEKHN1
1509,protein_coding,ENSG00000187642,PERM1
1538,lncRNA,ENSG00000272512,AL645608.7
1541,protein_coding,ENSG00000188290,HES4
1580,protein_coding,ENSG00000187608,ISG15
1610,processed_pseudogene,ENSG00000231702,AL645608.3
1613,lncRNA,ENSG00000224969,AL645608.1
1617,protein_coding,ENSG00000188157,AGRN
1957,lncRNA,ENSG00000242590,AL645608.5
1961,transcribed_unprocessed_pseudogene,ENSG00000217801,AL390719.1
1993,lncRNA,ENSG00000273443,AL645608.8
1997,protein_coding,ENSG00000237330,RNF223
2007,protein_coding,ENSG00000131591,C1orf159
2326,lncRNA,ENSG00000285812,AL390719.3
2330,lncRNA,ENSG00000223823,LINC01342
2335,miRNA,ENSG00000207730,MIR200B
2338,miRNA,ENSG00000207607,MIR200A
2341,miRNA,ENSG00000198976,MIR429
2344,lncRNA,ENSG00000272141,AL390719.2
2347,lncRNA,ENSG00000205231,TTLL10-AS1
2351,protein_coding,ENSG00000162571,TTLL10
2489,protein_coding,ENSG00000186891,TNFRSF18
2542,protein_coding,ENSG00000186827,TNFRSF4
2573,protein_coding,ENSG00000078808,SDF4
2672,protein_coding,ENSG00000176022,B3GALT6
2680,protein_coding,ENSG00000184163,C1QTNF12
2716,lncRNA,ENSG00000260179,AL162741.1
2719,protein_coding,ENSG00000160087,UBE2J2
2993,lncRNA,ENSG00000230415,LINC01786
3001,protein_coding,ENSG00000162572,SCNN1D
3220,protein_coding,ENSG00000131584,ACAP3
3421,miRNA,ENSG00000278073,MIR6726
3424,protein_coding,ENSG00000169972,PUSL1
3476,protein_coding,ENSG00000127054,INTS11
4314,miRNA,ENSG00000283712,MIR6727
4317,lncRNA,ENSG00000240731,AL139287.1
4321,protein_coding,ENSG00000224051,CPTP
4345,protein_coding,ENSG00000169962,TAS1R3
4363,protein_coding,ENSG00000107404,DVL1
4506,miRNA,ENSG00000284372,MIR6808
4509,protein_coding,ENSG00000162576,MXRA8
4634,protein_coding,ENSG00000175756,AURKAIP1
4691,processed_pseudogene,ENSG00000223663,NDUFB4P8
4694,protein_coding,ENSG00000221978,CCNL2
4954,lncRNA,ENSG00000224870,MRPL20-AS1
4984,protein_coding,ENSG00000242485,MRPL20
5030,misc_RNA,ENSG00000264293,RN7SL657P
5033,lncRNA,ENSG00000272455,MRPL20-DT
5036,protein_coding,ENSG00000235098,ANKRD65
5089,lncRNA,ENSG00000225905,AL391244.1
5093,protein_coding,ENSG00000205116,TMEM88B
5101,lncRNA,ENSG00000225285,LINC01770
5114,protein_coding,ENSG00000179403,VWA1
5151,protein_coding,ENSG00000215915,ATAD3C
5199,protein_coding,ENSG00000160072,ATAD3B
5306,transcribed_unprocessed_pseudogene,ENSG00000284740,AL645728.2
5313,protein_coding,ENSG00000197785,ATAD3A
5505,protein_coding,ENSG00000205090,TMEM240
5543,protein_coding,ENSG00000160075,SSU72
5576,lncRNA,ENSG00000215014,AL645728.1
